Date Of Death Year,Date Of Death Month,Region,AgeGroup,RaceEthnicity,"COVID-19 (U071, Multiple Cause of Death)",Sex,Place Of Death,AnalysisDate,Note,flag_cov19mcod
2020,05,Midwest,40-49 years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,40-49 years,Non-Hispanic Asian,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,40-49 years,Non-Hispanic Black,59,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,40-49 years,Non-Hispanic White,36,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,40-49 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,5-17 years,Hispanic,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,5-17 years,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,5-17 years,Non-Hispanic Asian,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,5-17 years,Non-Hispanic Black,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,5-17 years,Non-Hispanic White,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,5-17 years,Other,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,50-64 years,Hispanic,300,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,50-64 years,Non-Hispanic American Indian or Alaska Native,13,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,50-64 years,Non-Hispanic Asian,31,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,50-64 years,Non-Hispanic Black,331,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,50-64 years,Non-Hispanic White,453,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,50-64 years,Other,12,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,65-74 years,Hispanic,221,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,65-74 years,Non-Hispanic American Indian or Alaska Native,12,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,65-74 years,Non-Hispanic Asian,58,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,65-74 years,Non-Hispanic Black,479,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,65-74 years,Non-Hispanic White,883,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,65-74 years,Other,22,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,75-84 years,Hispanic,170,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,75-84 years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,75-84 years,Non-Hispanic Asian,59,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,75-84 years,Non-Hispanic Black,412,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,75-84 years,Non-Hispanic White,1472,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,75-84 years,Other,21,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,85+ years,Hispanic,138,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,85+ years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,85+ years,Non-Hispanic Asian,86,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,85+ years,Non-Hispanic Black,399,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,85+ years,Non-Hispanic White,2341,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,85+ years,Other,10,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,Under 1 year,Hispanic,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,Under 1 year,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,Under 1 year,Non-Hispanic Asian,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,Under 1 year,Non-Hispanic Black,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,Under 1 year,Non-Hispanic White,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,Under 1 year,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Midwest,Unknown Age,Hispanic,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,Unknown Age,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,Unknown Age,Non-Hispanic Asian,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,Unknown Age,Non-Hispanic Black,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,Unknown Age,Non-Hispanic White,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Midwest,Unknown Age,Other,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,1-4 Years,Hispanic,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,1-4 Years,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,1-4 Years,Non-Hispanic Asian,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,1-4 Years,Non-Hispanic Black,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,1-4 Years,Non-Hispanic White,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,1-4 Years,Other,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,18-29 years,Hispanic,17,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,18-29 years,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,18-29 years,Non-Hispanic Asian,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,18-29 years,Non-Hispanic Black,10,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,18-29 years,Non-Hispanic White,12,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,18-29 years,Other,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,30-39 years,Hispanic,60,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,30-39 years,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,30-39 years,Non-Hispanic Asian,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,30-39 years,Non-Hispanic Black,24,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,30-39 years,Non-Hispanic White,24,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,30-39 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,40-49 years,Hispanic,190,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,40-49 years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,40-49 years,Non-Hispanic Asian,28,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,40-49 years,Non-Hispanic Black,77,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,40-49 years,Non-Hispanic White,73,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,40-49 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,5-17 years,Hispanic,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,5-17 years,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,5-17 years,Non-Hispanic Asian,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,5-17 years,Non-Hispanic Black,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,5-17 years,Non-Hispanic White,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,5-17 years,Other,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,50-64 years,Hispanic,696,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,50-64 years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,50-64 years,Non-Hispanic Asian,131,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,50-64 years,Non-Hispanic Black,558,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,50-64 years,Non-Hispanic White,776,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,50-64 years,Other,59,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,65-74 years,Hispanic,657,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,65-74 years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,65-74 years,Non-Hispanic Asian,223,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,65-74 years,Non-Hispanic Black,666,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,65-74 years,Non-Hispanic White,1620,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,65-74 years,Other,68,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,75-84 years,Hispanic,546,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,75-84 years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,75-84 years,Non-Hispanic Asian,188,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,75-84 years,Non-Hispanic Black,706,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,75-84 years,Non-Hispanic White,2720,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,75-84 years,Other,61,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,85+ years,Hispanic,374,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,85+ years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,85+ years,Non-Hispanic Asian,184,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,85+ years,Non-Hispanic Black,600,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,85+ years,Non-Hispanic White,5313,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,85+ years,Other,62,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Under 1 year,Hispanic,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Under 1 year,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Under 1 year,Non-Hispanic Asian,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Under 1 year,Non-Hispanic Black,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Under 1 year,Non-Hispanic White,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,Northeast,Under 1 year,Other,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Unknown Age,Hispanic,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Unknown Age,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Unknown Age,Non-Hispanic Asian,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Unknown Age,Non-Hispanic Black,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Unknown Age,Non-Hispanic White,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,Northeast,Unknown Age,Other,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,1-4 Years,Hispanic,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,1-4 Years,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,1-4 Years,Non-Hispanic Asian,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,1-4 Years,Non-Hispanic Black,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,1-4 Years,Non-Hispanic White,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,1-4 Years,Other,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,18-29 years,Hispanic,15,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,18-29 years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,18-29 years,Non-Hispanic Asian,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,18-29 years,Non-Hispanic Black,14,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,18-29 years,Non-Hispanic White,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,18-29 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,30-39 years,Hispanic,53,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,30-39 years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,30-39 years,Non-Hispanic Asian,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,30-39 years,Non-Hispanic Black,38,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,30-39 years,Non-Hispanic White,12,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,30-39 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,40-49 years,Hispanic,100,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,40-49 years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,40-49 years,Non-Hispanic Asian,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,40-49 years,Non-Hispanic Black,145,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,40-49 years,Non-Hispanic White,34,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,40-49 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,5-17 years,Hispanic,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,5-17 years,Non-Hispanic American Indian or Alaska Native,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,5-17 years,Non-Hispanic Asian,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,5-17 years,Non-Hispanic Black,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,5-17 years,Non-Hispanic White,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,5-17 years,Other,0,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,50-64 years,Hispanic,347,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,50-64 years,Non-Hispanic American Indian or Alaska Native,15,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,50-64 years,Non-Hispanic Asian,33,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,50-64 years,Non-Hispanic Black,582,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,50-64 years,Non-Hispanic White,349,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,50-64 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,65-74 years,Hispanic,277,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,65-74 years,Non-Hispanic American Indian or Alaska Native,15,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,65-74 years,Non-Hispanic Asian,42,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,65-74 years,Non-Hispanic Black,839,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,65-74 years,Non-Hispanic White,758,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,65-74 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,75-84 years,Hispanic,235,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,75-84 years,Non-Hispanic American Indian or Alaska Native,12,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,75-84 years,Non-Hispanic Asian,59,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,75-84 years,Non-Hispanic Black,818,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,75-84 years,Non-Hispanic White,1230,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,75-84 years,Other,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,85+ years,Hispanic,219,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,85+ years,Non-Hispanic American Indian or Alaska Native,,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",Suppressed (counts 1-9)
2020,05,South,85+ years,Non-Hispanic Asian,67,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
2020,05,South,85+ years,Non-Hispanic Black,651,All Sexes,All Places of Death,2020-10-12,"Data are provisional, and values in the most recent months are incomplete.",
